,ids,estate_sNH2,estate_ssNH,estate_aaNH,estate_sssN,maxestate_N,sumestate_N,min_estate
0,CC1CCNC1,0,3.271990741,0,0,3.271990741,3.271990741,3.271990741
1,C(C(CN)CN)N,5.233796296,0,0,0,5.233796296,5.233796296,5.233796296
2,C(C(CN)CO)N,5.153796296,0,0,0,5.153796296,5.153796296,5.153796296
3,C(C(CO)CO)N,5.073796296,0,0,0,5.073796296,5.073796296,5.073796296
4,C(CCCN)CCN,5.27949263,0,0,0,5.27949263,5.27949263,5.27949263
5,C(CCN)CCN,5.228472222,0,0,0,5.228472222,5.228472222,5.228472222
6,C(CN)C(CCN)O,5.158888889,0,0,0,5.158888889,5.158888889,5.158888889
7,C(CN)C(CCO)O,5.118072562,0,0,0,5.118072562,5.118072562,5.118072562
8,C(CN)CO,4.979027778,0,0,0,4.979027778,4.979027778,4.979027778
9,C(CNCCN)N,5.165972222,3.034722222,0,0,5.165972222,8.200694444,3.034722222
10,C(CO)N,4.777777778,0,0,0,4.777777778,4.777777778,4.777777778
11,C(CO)NCCO,0,2.784722222,0,0,2.784722222,2.784722222,2.784722222
12,C(COCCO)N,5.062655896,0,0,0,5.062655896,5.062655896,5.062655896
13,C1=CC(=CC=C1CN)CN,5.410094482,0,0,0,5.410094482,5.410094482,5.410094482
14,C1=CC(=CC=C1CN)CO,5.378844482,0,0,0,5.378844482,5.378844482,5.378844482
15,C1=CC=C(C=C1)CN,5.349814815,0,0,0,5.349814815,5.349814815,5.349814815
16,C1=CC=C(C=C1)CNCCO,0,3.101342593,0,0,3.101342593,3.101342593,3.101342593
17,C1=CNC=C1CN,5.274259259,0,2.900648148,0,5.274259259,8.174907407,2.900648148
18,C1CC(CCC1CN)CN,5.558890779,0,0,0,5.558890779,5.558890779,5.558890779
19,C1CCC(CC1)N,5.634722222,0,0,0,5.634722222,5.634722222,5.634722222
20,C1CCC(CN2CCNC2)CC1,0,3.387830215,0,2.565462963,3.387830215,5.953293178,2.565462963
21,C1CCCNCC1,0,3.347222222,0,0,3.347222222,3.347222222,3.347222222
22,C1CCNC1,0,3.222222222,0,0,3.222222222,3.222222222,3.222222222
23,C1CCNCC1,0,3.284722222,0,0,3.284722222,3.284722222,3.284722222
24,C1CNC(CN1)CN,5.400740741,3.243240741,0,0,5.400740741,8.643981481,3.243240741
25,C1CNCC1CN,5.393796296,3.243240741,0,0,5.393796296,8.637037037,3.243240741
26,C1CNCCC1CN,5.475462963,3.293472222,0,0,5.475462963,8.768935185,3.293472222
27,C1CNCCCNC1,0,3.347222222,0,0,3.347222222,3.347222222,3.347222222
28,C1CNCCCOC1,0,3.307222222,0,0,3.307222222,3.307222222,3.307222222
29,C1CNCCN1,0,3.222222222,0,0,3.222222222,3.222222222,3.222222222
30,C1CNCCOC1,0,3.222222222,0,0,3.222222222,3.222222222,3.222222222
31,C1COCC(N1)CN,5.360740741,3.21875,0,0,5.360740741,8.579490741,3.21875
32,C1COCCN1,0,3.159722222,0,0,3.159722222,3.159722222,3.159722222
33,c1csc(CNC2CCC2)c1,0,3.531898148,0,0,3.531898148,3.531898148,3.531898148
34,CC(C)C(C)N,5.435185185,0,0,0,5.435185185,5.435185185,5.435185185
35,CC(C)CN,5.171296296,0,0,0,5.171296296,5.171296296,5.171296296
36,CC(C)CNC(CO)CO,0,3.018518519,0,0,3.018518519,3.018518519,3.018518519
37,CC(C)CNCCN,5.252234505,3.209490741,0,0,5.252234505,8.461725246,3.209490741
38,CC(C)CNCCO,0,3.084490741,0,0,3.084490741,3.084490741,3.084490741
39,CC(C)NC(C)C,0,3.305555556,0,0,3.305555556,3.305555556,3.305555556
40,CC(C)NC(C)CO,0,3.142361111,0,0,3.142361111,3.142361111,3.142361111
41,CC(C)NCC(CO)c1ccccc1,0,3.3349726,0,0,3.3349726,3.3349726,3.3349726
42,CC(C)NCC(O)c1ccccc1,0,3.1937226,0,0,3.1937226,3.1937226,3.1937226
43,CC(C)NCCc1ccncc1,0,3.373545918,0,0,3.373545918,3.373545918,3.373545918
44,CC(C)NCCCO,0,3.186388889,0,0,3.186388889,3.186388889,3.186388889
45,CC(C)NCCN,5.214305556,3.170138889,0,0,5.214305556,8.384444444,3.170138889
46,CC(C)NCCN(C)C,0,3.335138889,0,2.175972222,3.335138889,5.511111111,2.175972222
47,CC(C)NCCO,0,3.045138889,0,0,3.045138889,3.045138889,3.045138889
48,CC(C)OCCN,5.151805556,0,0,0,5.151805556,5.151805556,5.151805556
49,CC(CCN)CCN,5.318888889,0,0,0,5.318888889,5.318888889,5.318888889
50,CC(CNC)CNC,0,3.112268519,0,0,3.112268519,3.112268519,3.112268519
51,CC(CNCC(C)O)O,0,2.884259259,0,0,2.884259259,2.884259259,2.884259259
52,CC(NC(C)O)O,0,2.416666667,0,0,2.416666667,2.416666667,2.416666667
53,CC1=CC(=CC=C1)CN,5.418703704,0,0,0,5.418703704,5.418703704,5.418703704
54,CC1CCC(CCN)CC1,5.494005102,0,0,0,5.494005102,5.494005102,5.494005102
55,Cc1ccc(CN)cc1,5.399890401,0,0,0,5.399890401,5.399890401,5.399890401
56,Cc1ccccc1CN,5.450648148,0,0,0,5.450648148,5.450648148,5.450648148
57,Cc1ccccc1COCCN,5.305719325,0,0,0,5.305719325,5.305719325,5.305719325
58,CC1CCCCN1,0,3.381944444,0,0,3.381944444,3.381944444,3.381944444
59,CC1CCNCC1,0,3.315138889,0,0,3.315138889,3.315138889,3.315138889
60,CC1CNCCN1,0,3.319444444,0,0,3.319444444,3.319444444,3.319444444
61,CC1CNCCO1,0,3.209490741,0,0,3.209490741,3.209490741,3.209490741
62,CC1COCCN1,0,3.256944444,0,0,3.256944444,3.256944444,3.256944444
63,CCC(C)CN,5.282546296,0,0,0,5.282546296,5.282546296,5.282546296
64,CCC(CC)CN,5.393796296,0,0,0,5.393796296,5.393796296,5.393796296
65,CCC(CC)NC,0,3.201388889,0,0,3.201388889,3.201388889,3.201388889
66,CCC(CO)N,5.222222222,0,0,0,5.222222222,5.222222222,5.222222222
67,CCC(N)CC,5.472222222,0,0,0,5.472222222,5.472222222,5.472222222
68,CCC1CCN(CN)CC1,5.516066704,0,0,2.325555556,5.516066704,7.84162226,2.325555556
69,CCC1CCNCC1,0,3.349027778,0,0,3.349027778,3.349027778,3.349027778
70,CCCC(CC)N,5.583472222,0,0,0,5.583472222,5.583472222,5.583472222
71,CCCCC(C)N,5.478472222,0,0,0,5.478472222,5.478472222,5.478472222
72,CCCCCCC(C)N,5.574631519,0,0,0,5.574631519,5.574631519,5.574631519
73,CCCCCCCCN,5.343246488,0,0,0,5.343246488,5.343246488,5.343246488
74,CCCCCCCNC,0,3.144609552,0,0,3.144609552,3.144609552,3.144609552
75,CCCCCCCNCCO,0,3.161970663,0,0,3.161970663,3.161970663,3.161970663
76,CCCCCCN,5.269288549,0,0,0,5.269288549,5.269288549,5.269288549
77,CCCCCCNC,0,3.126592971,0,0,3.126592971,3.126592971,3.126592971
78,CCCCCNCCC,0,3.369861111,0,0,3.369861111,3.369861111,3.369861111
79,CCCCCNCCCN,5.329419328,3.341111111,0,0,5.329419328,8.670530439,3.341111111
80,CCCCNC,0,3.068611111,0,0,3.068611111,3.068611111,3.068611111
81,CCCCOCCCCN,5.313863772,0,0,0,5.313863772,5.313863772,5.313863772
82,CCCCOCCCN,5.263246488,0,0,0,5.263246488,5.263246488,5.263246488
83,CCCCOCCN,5.18574263,0,0,0,5.18574263,5.18574263,5.18574263
84,CCCN(C)CCCN,5.346298186,0,0,2.312361111,5.346298186,7.658659297,2.312361111
85,CCCN(C)CCNCC,0,3.295898526,0,2.349861111,3.295898526,5.645759637,2.349861111
86,CCCN(CC)CCCN,5.401003401,0,0,2.437361111,5.401003401,7.838364512,2.437361111
87,CCCN(CC)CCN,5.393594104,0,0,2.361111111,5.393594104,7.754705215,2.361111111
88,CCCN(CC)CCNCC,0,3.329787415,0,2.474861111,3.329787415,5.804648526,2.474861111
89,CCCN(CCC)CCN,5.44829932,0,0,2.416666667,5.44829932,7.864965986,2.416666667
90,CCCNC,0,3.017361111,0,0,3.017361111,3.017361111,3.017361111
91,CCCNC(C)C,0,3.295138889,0,0,3.295138889,3.295138889,3.295138889
92,CCCNCc1ccco1,0,3.243703704,0,0,3.243703704,3.243703704,3.243703704
93,CCCNCCO,0,3.034722222,0,0,3.034722222,3.034722222,3.034722222
94,CCCOCCCN,5.23074263,0,0,0,5.23074263,5.23074263,5.23074263
95,CCN(C)CCCCNC,0,3.140924745,0,2.342916667,3.140924745,5.483841412,2.342916667
96,CCN(C)CCCNCCO,0,3.137842971,0,2.278398526,3.137842971,5.416241497,2.278398526
97,CCN(C)CCN,5.263333333,0,0,2.180555556,5.263333333,7.443888889,2.180555556
98,CCN(C)CCNCCO,0,3.108611111,0,2.226561791,3.108611111,5.335172902,2.226561791
99,CCN(CC)CCCC(C)N,5.643013039,0,0,2.432916667,5.643013039,8.075929705,2.432916667
100,CCN(CC)CCCN,5.35954932,0,0,2.381805556,5.35954932,7.741354875,2.381805556
101,CCN(CC)CCNC,0,3.125138889,0,2.399305556,3.125138889,5.524444444,2.399305556
102,CCN(CC)CCNCO,0,2.86125,0,2.308194444,2.86125,5.169444444,2.308194444
103,CCN(CC)CCNCOC,0,3.170277778,0,2.377638889,3.170277778,5.547916667,2.377638889
104,CCN(CCCN)CCCO,5.384124543,0,0,2.308611111,5.384124543,7.692735654,2.308611111
105,CCN(CCCN)CCOC,5.402257259,0,0,2.343611111,5.402257259,7.74586837,2.343611111
106,CCN(CCN)CCCN,5.369753401,0,0,2.312361111,5.369753401,7.682114512,2.312361111
107,CCN(CCN)CCNC,5.414640023,3.108415533,0,2.329861111,5.414640023,10.85291667,2.329861111
108,CCN(CCN)CCO,5.311961451,0,0,2.111111111,5.311961451,7.423072562,2.111111111
109,CCN1CCNCC1,0,3.307361111,0,2.454861111,3.307361111,5.762222222,2.454861111
110,CCNC(C)(C)C,0,3.284722222,0,0,3.284722222,3.284722222,3.284722222
111,CCNC(C)C,0,3.208333333,0,0,3.208333333,3.208333333,3.208333333
112,CCNC(C)CC,0,3.295138889,0,0,3.295138889,3.295138889,3.295138889
113,CCNC(CO)CO,0,2.881944444,0,0,2.881944444,2.881944444,2.881944444
114,CCNC1CCCCC1,0,3.484444444,0,0,3.484444444,3.484444444,3.484444444
115,CCNC1CCNCC1,0,3.333120748,0,0,3.333120748,3.333120748,3.333120748
116,CCNC1CCOCC1,0,3.404444444,0,0,3.404444444,3.404444444,3.404444444
117,CCNCC,0,3.111111111,0,0,3.111111111,3.111111111,3.111111111
118,CCNCC(C)C,0,3.247685185,0,0,3.247685185,3.247685185,3.247685185
119,CCNCC(C)O,0,2.997685185,0,0,2.997685185,2.997685185,2.997685185
120,CCNCC1=CC=CC=C1,0,3.264537037,0,0,3.264537037,3.264537037,3.264537037
121,CCNCc1cccc(OC)c1,0,3.260296674,0,0,3.260296674,3.260296674,3.260296674
122,CCNCc1ccco1,0,3.156898148,0,0,3.156898148,3.156898148,3.156898148
123,CCNCc1ccncc1,0,3.236759259,0,0,3.236759259,3.236759259,3.236759259
124,CCNCCCCCN,5.322838325,3.2663322,0,0,5.322838325,8.589170525,3.2663322
125,CCNCCCCN,5.282964853,3.2275,0,0,5.282964853,8.510464853,3.2275
126,CCNCCCNC,0,3.086592971,0,0,3.086592971,3.086592971,3.086592971
127,CCNCCCO,0,3.089166667,0,0,3.089166667,3.089166667,3.089166667
128,CCNCCN,5.152083333,3.072916667,0,0,5.152083333,8.225,3.072916667
129,CCNCCO,0,2.947916667,0,0,2.947916667,2.947916667,2.947916667
130,CCNCCOCC,0,3.158055556,0,0,3.158055556,3.158055556,3.158055556
131,CCOCCCN,5.189288549,0,0,0,5.189288549,5.189288549,5.189288549
132,CCOCCN,5.089583333,0,0,0,5.089583333,5.089583333,5.089583333
133,CCOCCNC,0,2.9775,0,0,2.9775,2.9775,2.9775
134,CCOCCNCc1ccccc1,0,3.311481481,0,0,3.311481481,3.311481481,3.311481481
135,CN(C)CCCN,5.250138889,0,0,2.131805556,5.250138889,7.381944444,2.131805556
136,CN(C)CCN,5.187777778,0,0,2.055555556,5.187777778,7.243333333,2.055555556
137,CN(CCN)CCN,5.277222222,0,0,2.111111111,5.277222222,7.388333333,2.111111111
138,CN1CCCNCC1,0,3.335972222,0,2.361111111,3.335972222,5.697083333,2.361111111
139,CNC(C)C,0,3.027777778,0,0,3.027777778,3.027777778,3.027777778
140,CNC1CCC(CC1)N,5.723871882,3.268888889,0,0,5.723871882,8.992760771,3.268888889
141,CNC1CCC(CC1)O,0,3.213333333,0,0,3.213333333,3.213333333,3.213333333
142,CNC1CCCC1,0,3.263888889,0,0,3.263888889,3.263888889,3.263888889
143,CNC1CCCCC1,0,3.303888889,0,0,3.303888889,3.303888889,3.303888889
144,CNC1CCN(C)CC1,0,3.297777778,0,2.382777778,3.297777778,5.680555556,2.382777778
145,CNC1CCNCC1,0,3.309027778,0,0,3.309027778,3.309027778,3.309027778
146,CNC1CCOCC1,0,3.223888889,0,0,3.223888889,3.223888889,3.223888889
147,CNCC(CNC)O,0,2.862268519,0,0,2.862268519,2.862268519,2.862268519
148,CNCC1CCC(N)CC1,5.772695578,3.211424792,0,0,5.772695578,8.98412037,3.211424792
149,CNCC1CCCC1,0,3.20962963,0,0,3.20962963,3.20962963,3.20962963
150,CNCC1CCCCC1,0,3.237407407,0,0,3.237407407,3.237407407,3.237407407
151,CNCCc1ccccn1,0,3.076176304,0,0,3.076176304,3.076176304,3.076176304
152,CNCCc1ccncc1,0,3.095768141,0,0,3.095768141,3.095768141,3.095768141
153,CNCCc1ccoc1,0,3.064305556,0,0,3.064305556,3.064305556,3.064305556
154,CNCCCc1ccccc1,0,3.137942885,0,0,3.137942885,3.137942885,3.137942885
155,CNCCCc1ccncc1,0,3.122317885,0,0,3.122317885,3.122317885,3.122317885
156,CNCCCCN,5.241510771,3.046944444,0,0,5.241510771,8.288455215,3.046944444
157,CNCCCN,5.174583333,2.988611111,0,0,5.174583333,8.163194444,2.988611111
158,CNCCCN(C)C,0,3.096388889,0,2.191805556,3.096388889,5.288194444,2.191805556
159,CNCCCN1CCCC1,0,3.164982993,0,2.552916667,3.164982993,5.71789966,2.552916667
160,CNCCCNC,0,3.0625,0,0,3.0625,3.0625,3.0625
161,CNCCCNCCO,0,3.079861111,0,0,3.079861111,3.079861111,3.079861111
162,CNCCCNCCOC,0,3.256111111,0,0,3.256111111,3.256111111,3.256111111
163,CNCCCO,0,2.908611111,0,0,2.908611111,2.908611111,2.908611111
164,CNCCCOC,0,3.0225,0,0,3.0225,3.0225,3.0225
165,CNCCN(C)C,0,3.057361111,0,2.149305556,3.057361111,5.206666667,2.149305556
166,CNCCOCCN,5.165334467,2.960776644,0,0,5.165334467,8.126111111,2.960776644
167,CNCCOCCO,0,2.919960317,0,0,2.919960317,2.919960317,2.919960317
168,CNCN1CCCC1,0,3.135555556,0,2.430555556,3.135555556,5.566111111,2.430555556
169,COC(CNC(C)C)OC,0,3.197407407,0,0,3.197407407,3.197407407,3.197407407
170,COC1=CC=C(C=C1)CN,5.400528156,0,0,0,5.400528156,5.400528156,5.400528156
171,COC1CCNCC1,0,3.269027778,0,0,3.269027778,3.269027778,3.269027778
172,COCCCCN,5.213732993,0,0,0,5.213732993,5.213732993,5.213732993
173,COCCCN,5.134583333,0,0,0,5.134583333,5.134583333,5.134583333
174,COCCN,5.014027778,0,0,0,5.014027778,5.014027778,5.014027778
175,COCCN1CCCNC1,0,3.314092971,0,2.368055556,3.314092971,5.682148526,2.368055556
176,COCCNCCN,5.207426304,3.085972222,0,0,5.207426304,8.293398526,3.085972222
177,NC1CCCC1,5.534722222,0,0,0,5.534722222,5.534722222,5.534722222
178,NCC(CN)c1ccccc1,5.535307067,0,0,0,5.535307067,5.535307067,5.535307067
179,NCC(CO)Cc1ccccc1,5.471123394,0,0,0,5.471123394,5.471123394,5.471123394
180,NCC1CCC(N)CC1,5.710833333,0,0,0,5.710833333,5.710833333,5.710833333
181,NCc1cccc(CN)c1,5.432592593,0,0,0,5.432592593,5.432592593,5.432592593
182,NCC1CCCC1,5.433796296,0,0,0,5.433796296,5.433796296,5.433796296
183,NCCc1cccc(O)c1,5.328981481,0,0,0,5.328981481,5.328981481,5.328981481
184,NCCC1CCCC1,5.408333333,0,0,0,5.408333333,5.408333333,5.408333333
185,NCCc1ccccc1,5.360538549,0,0,0,5.360538549,5.360538549,5.360538549
186,NCCCC1CCCCC1,5.44568665,0,0,0,5.44568665,5.44568665,5.44568665
187,NCCCC1CCNCC1,5.43006165,3.35988733,0,0,5.43006165,8.78994898,3.35988733
188,NCCCCn1ccnc1,5.343090986,0,0,0,5.343090986,5.343090986,5.343090986
189,NCCCN1CCNCC1,5.403394983,3.318220663,0,2.461666667,5.403394983,11.18328231,2.461666667
190,NCCNCCO,5.125155896,2.909722222,0,0,5.125155896,8.034878118,2.909722222
191,NCCOC1CCCC1,5.28162415,0,0,0,5.28162415,5.28162415,5.28162415
192,NCCOCc1ccco1,5.212363001,0,0,0,5.212363001,5.212363001,5.212363001
193,NCCOCCN,5.103472222,0,0,0,5.103472222,5.103472222,5.103472222
194,NCCOCNCc1ccccc1,5.269084828,3.158703704,0,0,5.269084828,8.427788531,3.158703704
195,OCC1CCNCC1,0,3.237916667,0,0,3.237916667,3.237916667,3.237916667
